Start,distance,steps,flights,active_cals,stepgoal
5/29/19,5.405621032,9603.840957,9,396.8271271,Step Goal Fail
5/30/19,4.534152825,7958.303618,5,395.3148775,Step Goal Fail
5/31/19,4.587190218,8146.229497,4,395.3148775,Step Goal Fail
6/1/19,6.008785845,10201.7705,2,395.3148775,Step Goal Complete!
6/2/19,1.615405966,2938,0,395.3148775,Step Goal Fail
6/3/19,6.569837443,11422.9869,10,773.8398995,Step Goal Complete!
6/4/19,7.658556272,13051.7903,15,685.3323959,Step Goal Complete!
6/5/19,5.492283953,9290.222792,8,571.1512324,Step Goal Fail
6/6/19,4.125418229,7233.350332,10,423.9044579,Step Goal Fail
6/7/19,10.13975123,16644.64967,16,858.6485421,Step Goal Complete!
6/8/19,1.559293712,2772.675784,0,240.5271031,Step Goal Fail
6/9/19,3.392770807,7587,0,23.69489689,Step Goal Fail
6/10/19,5.445501508,10004.69929,11,331.2995906,Step Goal Complete!
6/11/19,5.671562857,9979,11,537.5214094,Step Goal Fail
6/12/19,5.914335256,10976.60947,13,562.5901214,Step Goal Complete!
6/13/19,5.224766802,9644,3,511.5128786,Step Goal Fail
6/14/19,3.476831317,6346.666924,5,393.5417053,Step Goal Fail
6/15/19,1.497717821,2606.44738,2,185.6332947,Step Goal Fail
6/16/19,0.001322964,2.780127186,6,0,Step Goal Fail
6/17/19,0.001322964,2.780127186,84,0,Step Goal Fail
6/18/19,0.001322964,2.780127186,53,0,Step Goal Fail
6/19/19,0.001322964,2.780127186,1,0,Step Goal Fail
6/20/19,3.284280061,5720.47793,8,387.0446996,Step Goal Fail
6/21/19,5.042636565,8856.972634,5,549.2540917,Step Goal Fail
6/22/19,6.988814788,11427.29299,1,673.4682087,Step Goal Complete!
6/23/19,3.387229483,5981.809734,6,443.9673815,Step Goal Fail
6/24/19,3.696620253,6384.190266,5,473.0396185,Step Goal Fail
6/25/19,5.440550785,9368,4,561.5208557,Step Goal Fail
6/26/19,6.260385188,10926,6,642.2781443,Step Goal Complete!
6/27/19,5.042511574,8913,5,502.8503686,Step Goal Fail
6/28/19,3.676638668,6473.236658,2,464.9757618,Step Goal Fail
6/29/19,4.437504925,7812.763342,8,549.4569841,Step Goal Fail
6/30/19,4.547116334,8193,2,482.6504914,Step Goal Fail
7/1/19,6.871384135,11876.23087,11,697.7161662,Step Goal Complete!
7/2/19,8.185585572,13994.90463,8,789.4919093,Step Goal Complete!
7/3/19,5.70132006,9935,4,547.1783956,Step Goal Fail
7/4/19,5.941953954,10336,7,604.1855311,Step Goal Complete!
7/5/19,8.003832134,13539,5,723.5856442,Step Goal Complete!
7/6/19,5.492938004,9551.422236,2,535.3883016,Step Goal Fail
7/7/19,9.948898782,16484.08249,4,871.1580436,Step Goal Complete!
7/8/19,8.377527789,14828,6,772.7414843,Step Goal Complete!
7/9/19,3.848266839,6739,8,454.4262371,Step Goal Fail
7/10/19,6.868829439,12108,9,678.0079367,Step Goal Complete!
7/11/19,5.75766072,10104.36011,9,596.3306558,Step Goal Complete!
7/12/19,5.820104452,9970,5,584.1200888,Step Goal Fail
7/13/19,6.022215379,10695.60981,17,650.8741799,Step Goal Complete!
7/14/19,3.602063856,6126.358741,4,379.6998201,Step Goal Fail
7/15/19,0.011621806,18.88328871,10,0,Step Goal Fail
7/16/19,1.816064054,3196.148156,7,246.1609191,Step Goal Fail
7/17/19,5.420077366,9533,8,606.2107247,Step Goal Fail
7/18/19,3.95130277,6935.425199,1,489.731082,Step Goal Fail
7/19/19,6.562128039,11543.5748,8,681.7792742,Step Goal Complete!
7/20/19,0.977137949,1753,0,221.465,Step Goal Fail
7/21/19,9.346718911,16111.76125,2,1745.828852,Step Goal Complete!
7/22/19,6.399429364,11165.36634,8,626.5948024,Step Goal Complete!
7/23/19,3.745492139,6717.224553,2,441.2963455,Step Goal Fail
7/24/19,6.821105569,12068.50686,11,676.6591386,Step Goal Complete!
7/25/19,4.344030394,7640,1,506.1458614,Step Goal Fail
7/26/19,4.980838696,8829.238535,0,517.3372926,Step Goal Fail
7/27/19,5.380837187,9457.547684,2,550.1564647,Step Goal Fail
7/28/19,5.685226818,10056,3,590.1797859,Step Goal Complete!
7/29/19,2.840731882,4968,0,398.7029226,Step Goal Fail
7/30/19,7.988276126,13861,6,740.4235341,Step Goal Complete!
7/31/19,2.199365024,3793,0,313.29,Step Goal Fail
8/1/19,5.434845704,10453.25074,0,371.662,Step Goal Complete!
8/2/19,6.231002344,10417.35128,1,773.1893477,Step Goal Complete!
8/3/19,4.398722032,7860,2,599.061646,Step Goal Fail
8/4/19,1.644468408,3037,1,353.4910063,Step Goal Fail
8/5/19,7.178817737,9252,10,608.9,Step Goal Fail
8/6/19,3.551808801,6251,9,433.599,Step Goal Fail
8/7/19,3.689833078,6673.779944,9,445.548,Step Goal Fail
8/8/19,4.740156721,8436.543515,12,559.615,Step Goal Fail
8/9/19,3.117266355,5521.498766,4,412.345772,Step Goal Fail
8/10/19,5.520818405,10076.14753,2,528.258228,Step Goal Complete!
8/11/19,15.79331955,29480.22292,173,1384.847616,Step Goal Complete!
8/12/19,4.363082628,8117,5,491.4403828,Step Goal Fail
8/13/19,5.108320977,9467.487222,4,544.1930505,Step Goal Fail
8/14/19,4.192768996,7487.186477,2,463.2199503,Step Goal Fail
8/15/19,9.46924065,14867.16942,12,803.797,Step Goal Complete!
8/16/19,4.312279779,7798,4,528.166,Step Goal Fail
8/17/19,2.895538195,5337,0,366.598,Step Goal Fail
8/18/19,5.426357597,8171,0,678.484,Step Goal Fail
8/19/19,4.003270523,7094,5,482.547,Step Goal Fail
8/20/19,2.904544534,5151,0,387.915,Step Goal Fail
8/21/19,10.79315948,16650,3,1128.483,Step Goal Complete!
8/22/19,4.31826765,7577.689491,5,533.254,Step Goal Fail
8/23/19,3.095957064,5549,6,436.822,Step Goal Fail
8/24/19,3.0237021,5463,0,402.654,Step Goal Fail
8/25/19,8.653363304,15209,5,795.142,Step Goal Complete!
8/26/19,5.774522951,10178,1,607.343,Step Goal Complete!
8/27/19,6.225824392,11088,3,624.711,Step Goal Complete!
8/28/19,4.618071344,8164,3,597.176,Step Goal Fail
8/29/19,4.645846535,8178,1,513.911,Step Goal Fail
8/30/19,2.672069511,4887,1,454.724,Step Goal Fail
8/31/19,2.964774741,5358,5,411.066,Step Goal Fail
9/1/19,1.778460303,3226,1,402.776,Step Goal Fail
9/2/19,3.730384772,6718,1,459.974,Step Goal Fail
9/3/19,3.748711206,6529,1,478.519,Step Goal Fail
9/4/19,4.251750081,7516,1,469.072,Step Goal Fail
9/5/19,4.858604368,8362,1,561.633,Step Goal Fail
9/6/19,4.10439435,7086,3,526.303,Step Goal Fail
9/7/19,6.913533275,10133,0,785.904,Step Goal Complete!
9/8/19,1.857811581,3272.172234,0,313.537,Step Goal Fail
9/9/19,5.492289178,9551,5,593.118,Step Goal Fail
9/10/19,4.293677539,7520,1,497.586,Step Goal Fail
9/11/19,8.630926379,13323.07584,1,916.565,Step Goal Complete!
9/12/19,4.30691928,7444,3,508.714,Step Goal Fail
9/13/19,9.004095045,14397,3,967.466,Step Goal Complete!
9/14/19,1.568299315,2855,1,302.319,Step Goal Fail
9/15/19,6.378243512,9740,1,764.961,Step Goal Fail
9/16/19,3.742390906,6616.05808,1,459.827,Step Goal Fail
9/17/19,3.715949323,6446,1,488.591,Step Goal Fail
9/18/19,9.106501562,14447,1,959.591,Step Goal Complete!
9/19/19,3.822813837,6656,1,525.632,Step Goal Fail
9/20/19,8.697246157,13408,1,922.049,Step Goal Complete!
9/21/19,8.910396498,16047,36,811.361,Step Goal Complete!
9/22/19,5.628210499,9898,0,553.713,Step Goal Fail
9/23/19,4.007584308,7011,2,488.969,Step Goal Fail
9/24/19,6.953031607,12055,4,677.222,Step Goal Complete!
9/25/19,5.607063446,9635,1,585.351,Step Goal Fail
9/26/19,4.147507106,7223,2,477.838,Step Goal Fail
9/27/19,9.013173785,14119,3,978.403,Step Goal Complete!
9/28/19,0.760741585,1407,0,186.802,Step Goal Fail
9/29/19,7.758105881,11803.90546,1,828.19,Step Goal Complete!
9/30/19,3.957572714,6882,1,508.999,Step Goal Fail
10/1/19,9.712718797,15588,1,1057.387,Step Goal Complete!
10/2/19,3.9292445,6791,1,470.76,Step Goal Fail
10/3/19,4.440896791,7343,2,526.106,Step Goal Fail
10/4/19,8.933145339,13662,1,936.497,Step Goal Complete!
10/5/19,4.220310977,7248,2,484.569,Step Goal Fail
10/6/19,4.678549619,8122.56446,1,494.041,Step Goal Fail
10/7/19,4.657273264,8053.844086,2,511.788,Step Goal Fail
10/8/19,4.567637193,7935,1,502.806,Step Goal Fail
10/9/19,9.294320515,14786,1,959.151,Step Goal Complete!
10/10/19,3.410735931,5986,1,416.544,Step Goal Fail
10/11/19,5.844473953,10023,1,563.745,Step Goal Complete!
10/12/19,1.466198986,2660,0,260.015,Step Goal Fail
10/13/19,7.90889638,11883,1,864.871,Step Goal Complete!
10/14/19,4.715442858,8097,1,535.865,Step Goal Fail
10/15/19,9.754269825,15336,4,1032.511,Step Goal Complete!
10/16/19,7.374072995,12435,2,702.913,Step Goal Complete!
10/17/19,4.665587039,8266,2,521.008,Step Goal Fail
10/18/19,4.330259494,7625,1,567.9340423,Step Goal Fail
10/19/19,6.094828751,10849.84541,6,714.1999577,Step Goal Complete!
10/20/19,1.494076007,2757,1,336.875,Step Goal Fail
10/21/19,4.306785349,7453,1,478.387,Step Goal Fail
10/22/19,10.38522724,16154,3,1077.42,Step Goal Complete!
