"Year","Sex","Hgt","Wgt","Hand","Haircut","GPA","Exercise","Sport","TV","Award","Pulse","Computer","SocialMedia"
"FirstYear","F",64,116,"right",80,3.3,3,"Yes",5,"Nobel",92,"Mac","Instagram"
"FirstYear","M",67,165,"right",6,3.5,1,"No",15,"Nobel",75,"PC","Facebook"
"FirstYear","F",66,155,"right",80,3,5,"No",8,"Olympic",78,"PC","Snapchat"
"FirstYear","F",68,137,"right",0,3,10,"Yes",4,"Olympic",79,"Mac","Snapchat"
"FirstYear","F",59,135,"right",80,NA,18,"Yes",6,"Nobel",NA,NA,"Instagram"
"FirstYear","M",71,175,"right",15,3,7,"Yes",7,"Olympic",56,"Mac","Snapchat"
"FirstYear","F",63,115,"right",50,3.66,2,"No",15,"Nobel",NA,"Mac","Snapchat"
"Sophomore","F",62,140,"right",0,3.36,2,"No",7,"Nobel",85,"Mac","Instagram"
"Sophomore","M",71,150,"right",40,3.01,4,"No",6,"Olympic",75,"Mac","Instagram"
"Sophomore","F",68,190,"right",20,3.34,10,"Yes",3,"Nobel",80,NA,"Instagram"
"Sophomore","F",64,120,"right",20,3.55,0,"No",2,"Nobel",66,"Mac","Instagram"
"Sophomore","M",72,180,"right",18,3.5,10,"No",10,"Nobel",72,"Mac","Instagram"
"Sophomore","F",63,130,"right",20,3,0,"No",10,"Nobel",195,"Mac","Instagram"
"Sophomore","M",72,176,"right",20,3.1,6,"No",12,"Nobel",160,"Mac","Instagram"
"Sophomore","M",74,275,"right",25,2.8,5,"Yes",20,"Olympic",76,"PC","Twitter"
"FirstYear","F",54,142,"right",35,3.12,4,"No",5,"Olympic",NA,"PC","Snapchat"
"FirstYear","F",64,135,"right",60,2.92,0,"No",7,"Nobel",NA,"Mac","Snapchat"
"Sophomore","M",70,176,"right",18,3.6,7,"No",4,"Olympic",80,"Mac","Instagram"
"Junior","M",74,161,"right",25,2.5,12,"Yes",8,"Academy",70,"Mac","Instagram"
"FirstYear","F",66,180,"right",140,NA,7,"No",7,"Academy",100,"Mac","Snapchat"
"FirstYear","F",64,170,"left",NA,NA,10,"No",14,"Nobel",75,"PC","None"
"FirstYear","F",63,120,"right",130,NA,1,"No",2,"Nobel",71,"Mac","Instagram"
"Sophomore","F",60,NA,"right",16,NA,6,"No",5,"Nobel",60,"Mac","Snapchat"
"Sophomore","F",62,109,"right",50,3.5,10,"No",30,"Nobel",79,"Mac","Instagram"
"Junior","M",69,170,"right",15,NA,15,"Yes",5,"Olympic",60,"PC","Instagram"
"Junior","F",68,156,"right",40,3.64,15,"Yes",5,"Olympic",70,"Mac","Snapchat"
"Sophomore","F",65,180,"right",40,3.1,5,"No",2,"Nobel",65,"Mac","Instagram"
"Sophomore","M",67,160,"right",17,2.5,14,"Yes",30,"Olympic",60,"PC","Twitter"
"FirstYear","F",64,130,"right",50,NA,5,"No",3,"Olympic",60,"Mac","Instagram"
"Junior","M",69,175,"right",20,2.9,4,"Yes",7,"Olympic",52,"Mac","Instagram"
"Senior","M",74,220,"both",0,3.3,12,"Yes",5,"Olympic",120,"Mac","Snapchat"
"Junior","M",67,160,"left",20,3.4,10,"Yes",8,"Olympic",60,"Mac","Snapchat"
"Sophomore","F",65,120,"left",35,3.58,4,"No",5,"Nobel",64,"Mac","Instagram"
"FirstYear","F",64,135,"right",25,NA,7,"No",5,"Nobel",72,"Mac","Snapchat"
"FirstYear","M",66,110,"right",19,NA,7,"No",5,"Olympic",71,"PC","Snapchat"
"Sophomore","F",69,140,"right",0,3.6,12,"Yes",0,"Olympic",98,"PC","Instagram"
"FirstYear","F",NA,100,"right",15,NA,5,"No",0,"Academy",60,"Mac","Instagram"
"Sophomore","M",72,173,"left",35,3.22,5,"No",4,"Olympic",52,"PC","Instagram"
"Sophomore","F",63,120,"right",50,3,14,"No",20,"Olympic",65,"Mac","Other"
"Sophomore","F",64,113,"right",30,3.3,12,"Yes",12,"Nobel",75,"Mac","Snapchat"
"Junior","F",62,100,"right",52,3.7,7,"No",12,"Olympic",103,"Mac","Snapchat"
"Sophomore","F",66,105,"right",80,4,7,"No",7,"Academy",75,"PC","Instagram"
"Sophomore","F",70,150,"right",40,3.7,22,"Yes",5,"Olympic",50,"Mac","Instagram"
"FirstYear","M",NA,NA,"right",20,NA,5,"No",4,"Academy",110,"PC","Facebook"
"FirstYear","F",74,155,"right",50,NA,11,"Yes",10,"Olympic",NA,"Mac","Snapchat"
"Sophomore","M",67,148,"left",25,3.7,12,"No",2,"Nobel",67,"PC","Facebook"
"Sophomore","M",74,158,"right",17,NA,14,"Yes",6,"Nobel",52,"PC","Instagram"
"FirstYear","F",64,155,"right",32,NA,3,"No",4,"Nobel",80,"PC","Instagram"
"FirstYear","F",64,125,"right",45,NA,18,"Yes",6,"Olympic",70,"Mac","Snapchat"
"FirstYear","M",66,148,"right",15,NA,10,"Yes",15,"Olympic",62,"Mac","Twitter"
"Sophomore","M",71,153,"right",15,2.92,15,"Yes",12,"Olympic",66,"Mac","Snapchat"
"FirstYear","F",70,123,"right",NA,NA,6,"Yes",15,"Nobel",NA,"Mac","Instagram"
"Sophomore","F",59,115,"left",0,3.6,2,"No",10,"Nobel",62,"PC","Facebook"
"FirstYear","F",62,125,"right",60,NA,5,"Yes",10,"Olympic",82,"Mac","Instagram"
"Sophomore","F",64,140,"right",40,3.9,20,"No",5,"Academy",72,"Mac","Instagram"
"Sophomore","F",67,NA,"left",200,3.2,17,"Yes",10,"Olympic",52,"Mac","Instagram"
"Sophomore","M",73,215,"right",22,3.33,6,"No",12,"Nobel",80,"Mac","Twitter"
"Sophomore","F",67,135,"right",18,3.3,13,"Yes",4,"Nobel",58,"Mac","Twitter"
"Sophomore","F",62,130,"right",NA,3.5,5,"No",5,"Nobel",62,"Mac","Instagram"
